id,name,gender,group,История,Высшая метематика,Информатика,Русский язык,Дискретная метематика,Дизайн,Философия,Теория вероятности,ООП,Экономика,Численные методы,Теория баз данных,БЖД,Основы теории алгоритмов,Операционные системы,Правоведение,Data mining,Управление данными,Предотвращение коррупции,Моделирование систем,WEB,Английский язык,Интеллектуальный анализ данных,Java
1,Фомин Парамон Еремеевич,Male,1,65,80,75,68,95,70,70,85,65,81,80,70,85,95,73,81,81,77,85,86,80,67,84,77
2,Пелагея Анатольевна Шубина,Female,1,81,90,69,65,84,82,80,93,85,69,83,74,82,89,71,79,93,74,70,75,67,73,87,83
3,Поляков Пров Жанович,Male,1,76,86,99,76,90,100,90,87,86,92,83,96,78,91,99,89,83,97,82,79,86,81,75,90
4,Герасим Гертрудович Веселов,Male,1,90,72,68,90,66,77,82,68,68,91,75,73,89,76,65,76,74,80,94,69,78,92,72,72
5,г-жа Пахомова Антонина Георгиевна,Female,1,92,78,97,90,95,100,94,75,91,95,79,94,80,75,88,80,89,93,92,75,95,94,92,100
6,Гурьев Александр Анатольевич,Male,1,69,79,60,70,72,69,62,63,67,63,73,64,60,74,61,68,68,68,62,62,72,73,79,70
7,Воробьев Евдоким Устинович,Male,1,84,80,79,87,84,80,92,79,71,79,65,75,88,67,76,86,75,78,78,80,71,95,70,80
8,Епифан Бенедиктович Морозов,Male,1,72,61,73,77,66,71,61,60,72,76,77,61,74,63,55,72,76,79,77,69,74,66,67,79
9,Воронов Эрнест Евсеевич,Male,1,77,65,72,65,67,67,57,57,71,73,61,50,74,64,76,52,68,61,73,61,62,62,70,76
10,Пахом Авдеевич Дмитриев,Male,1,94,65,68,83,81,70,91,65,81,88,75,66,80,78,70,88,85,77,92,75,66,79,74,70
11,Алина Святославовна Данилова,Female,1,75,78,83,67,74,95,69,73,92,75,85,80,66,70,91,67,74,88,81,75,79,83,78,87
12,Лидия Григорьевна Фокина,Female,1,74,78,84,81,87,85,76,77,72,68,87,84,75,89,79,77,88,82,68,85,85,74,80,78
13,Виктория Сергеевна Лебедева,Female,1,89,74,68,87,83,71,93,81,73,82,73,67,90,77,79,86,83,69,82,68,66,93,70,75
14,Сидорова Евдокия Богдановна,Female,1,89,98,84,89,94,79,95,95,88,76,86,88,84,89,84,84,95,93,89,93,78,81,98,78
15,Власова Фаина Эдуардовна,Female,1,78,65,71,69,69,77,66,61,74,63,79,78,75,79,79,71,77,76,74,70,69,67,64,72
16,Фёкла Аркадьевна Евдокимова,Female,1,78,83,76,83,68,67,86,72,69,86,74,72,75,67,74,78,77,83,95,81,67,95,65,70
17,Екатерина Аскольдовна Авдеева,Female,1,75,83,67,82,79,65,83,90,71,70,79,81,69,93,85,66,83,75,70,95,65,68,85,81
18,Королев Мечислав Яковлевич,Male,1,89,89,97,95,75,97,80,92,86,89,75,90,94,80,93,79,88,86,84,85,85,85,76,96
19,Евгения Альбертовна Орехова,Female,1,84,75,77,79,67,70,82,77,68,88,70,83,95,70,85,94,69,72,92,70,77,82,79,78
20,Еремей Ефремович Кондратьев,Male,1,70,72,88,72,69,83,70,73,82,73,82,75,81,70,85,70,81,94,85,80,80,68,82,95
21,Амос Борисович Максимов,Male,1,83,97,81,82,90,80,90,86,94,78,90,78,85,96,87,84,99,88,84,95,84,75,89,76
22,Оксана Евгеньевна Пономарева,Female,1,71,74,54,50,70,63,74,66,75,68,73,70,69,78,61,73,65,71,64,62,55,67,66,67
